INSERT ALL
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ACI208', 'Embedded Systems', 2, 'aragonluisa@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('KNE128', 'Software Engineering', 6, 'ocampomariana@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('KRQ243', 'Human Resource Management', 6, 'juradotamara@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('KSO183', 'Thermodynamics', 1, 'cuellarpaula@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('KTT200', 'Colonial History', 2, 'godinezdelfina@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('KUB176', 'Particle Physics', 6, 'roblesantonella@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('KUY145', 'Environmental Policy', 4, 'laravicente@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('KVC101', 'Cybersecurity', 4, 'chavezernesto@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('KYG124', 'Investment Analysis', 5, 'deadriana@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('LAP219', 'Forensic Psychology', 6, 'valverdejonas@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('LAU169', 'Investment Analysis', 6, 'merinojulian@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('LCN155', 'Public Policy', 2, 'moralesbeatriz@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('LHX163', 'Classical Mechanics', 6, 'melendezconsuelo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('LKL239', 'Historical Linguistics', 3, 'aragonluisa@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('LOG187', 'Metaphysics', 3, 'cifuentesalejandro@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('LOM218', 'Fluid Mechanics', 2, 'vegadaniel@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('LPA129', 'Biochemistry', 6, 'penajulian@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('LPC152', 'Personality Psychology', 4, 'ramoscristian@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('LPV227', 'International Relations', 3, 'espinosacarolina@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('LQX216', 'History of Philosophy', 3, 'guzmanangela@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('LSQ195', 'Political Economy', 3, 'perezluis@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('LSR176', 'Medieval History', 1, 'guzmanrocio@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('LTG229', 'Wireless Communication', 3, 'avilamelissa@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('LUN227', 'Morphology', 1, 'tapiaagustin@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('LVH148', 'Organizational Behavior', 2, 'figueroadaniela@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('LVV116', 'Psychopathology', 5, 'herreramartin@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('LYC136', 'Syntax', 4, 'portillorafael@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('MDO135', 'Educational Psychology', 6, 'barriosfelipe@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('MHT181', 'Development Economics', 3, 'martinpablo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('MHZ175', 'International Relations', 1, 'benavidesliliana@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('MKL124', 'Microbiology', 6, 'gallegoselena@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('MLX102', 'Conflict Resolution', 3, 'ferreroefrain@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('MMW127', 'Number Theory', 1, 'carrascojulia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('MPN178', 'Biodiversity Conservation', 6, 'solisguillermo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('MPN250', 'Soil Science', 5, 'valdesjosue@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('MPY196', 'Philosophy of Mind', 2, 'figueroadaniela@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('MQY205', 'Phonetics', 2, 'fuentesmarta@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('MRU221', 'Climate Change', 2, 'torresgerman@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('NBE160', 'Physical Chemistry', 2, 'mezasilvana@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('NCT234', 'Evolutionary Biology', 2, 'escobarsergio@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('NGA248', 'Microbiology', 1, 'salinasveronica@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('NJJ103', 'Financial Accounting', 2, 'guzmanangela@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('NND216', 'Ancient Civilizations', 5, 'moralesbeatriz@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('NOA142', 'Ethics', 6, 'bustamantemonica@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('NOT172', 'Medieval History', 5, 'tellezsandra@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('NRR229', 'Comparative Politics', 5, 'alcantaraleonardo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('NTY211', 'Organic Chemistry', 6, 'nunezclara@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('NYY157', 'Labor Economics', 5, 'aguilarjuan@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('OAH233', 'History of Philosophy', 6, 'ibanezroberto@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('OBW200', 'Sociolinguistics', 5, 'olmedomarisol@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('OGG236', 'Syntax', 4, 'cuestaariadna@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('OHY214', 'Robotics', 5, 'escalanteceleste@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('OIN246', 'Behavioral Neuroscience', 2, 'coronelesperanza@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('OJT136', 'Government Systems', 3, 'riveraflorencia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ORT166', 'Sustainability Studies', 3, 'ramoscristian@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('OSZ222', 'Psycholinguistics', 6, 'juradotamara@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('OTW126', 'Labor Economics', 5, 'penalozamargarita@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('OUP108', 'Power Systems', 1, 'zunigajorge@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('OVO177', 'Marketing Strategies', 3, 'valdesjosue@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('OWH161', 'Analytical Chemistry', 1, 'solanofernando@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PAI244', 'Language Acquisition', 5, 'lopezjavier@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PBF209', 'Software Engineering', 3, 'arandajesus@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PBU158', 'Quantum Chemistry', 4, 'paredeshugo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PCJ106', 'Chemical Kinetics', 6, 'aragonluisa@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PGB188', 'Sociolinguistics', 5, 'jimenezantonio@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PGD109', 'Human-Computer Interaction', 4, 'serranoemilio@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PGY240', 'Neuroscience', 1, 'cifuentesalejandro@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PHI182', 'Circuit Analysis', 3, 'cortescristina@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PHL205', 'Existentialism', 2, 'figueroadaniela@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PKW112', 'Human Resource Management', 4, 'monterojulieta@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PMO154', 'Business Analytics', 4, 'peinadonoelia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PNR198', 'Thermodynamics', 3, 'olivaresandrea@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('POA214', 'Behavioral Economics', 4, 'ocampomariana@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('POV139', 'Climate Change', 6, 'espinosacarolina@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PSA175', 'Computational Linguistics', 3, 'aragonluisa@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PTN100', 'Personality Psychology', 4, 'dealonso@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PTR123', 'Topology', 2, 'manriquesilvia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PVE247', 'Legislative Processes', 5, 'bermudezcecilia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PWH207', 'Quantum Chemistry', 3, 'suarezariadna@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PWI130', 'Ecology', 5, 'trujilloambar@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('PYT200', 'Neuroscience', 2, 'navarroalejandra@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('QDV220', 'Economic History', 6, 'casasrosaura@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('QGC224', 'Language Acquisition', 3, 'roblesantonella@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('QLV173', 'Circuit Analysis', 3, 'salgadobruno@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('QMI236', 'Medieval History', 6, 'sanchezsofia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('QML196', 'Monetary Economics', 1, 'fuentescarla@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('QMM244', 'Data Structures and Algorithms', 6, 'barajasdelfina@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('QQJ120', 'Cell Biology', 5, 'sepulvedaraul@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('QQQ169', 'Analog Electronics', 2, 'peraltaemma@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('QRT226', 'Thermodynamics', 6, 'tellezsandra@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('QSR125', 'Wireless Communication', 4, 'ferraratomas@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('QZN220', 'Labor Economics', 2, 'lunatomas@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('RAU244', 'International Trade', 3, 'roldanpilar@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('RDU108', 'International Trade', 4, 'gallegoselena@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('RDZ195', 'Development Economics', 6, 'becerramarina@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('RFI247', 'Economic Policy', 2, 'beltranernesto@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('RFK112', 'Educational Psychology', 4, 'castanodavid@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('RJN163', 'Syntax', 3, 'tapiaagustin@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ROQ189', 'Medieval History', 3, 'arandajesus@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('RPM245', 'Educational Psychology', 6, 'santamariaramon@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('RPN149', 'Clinical Psychology', 6, 'munozivan@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('RTM215', 'Political Philosophy', 3, 'dealonso@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('SBT156', 'Economic Policy', 3, 'moralesbeatriz@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('SCK129', 'Renewable Energy Systems', 4, 'godinezdelfina@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('SCN209', 'Personality Psychology', 5, 'nunezclara@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('SDP170', 'Health Psychology', 5, 'carrilloeduardo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('SHS136', 'Manufacturing Processes', 6, 'santorobruno@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('SOQ174', 'Astrophysics', 1, 'reyesfrancisco@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('SOU208', 'Game Theory', 5, 'orozcoricardo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('SPC103', 'Social Psychology', 5, 'serranobruno@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('SPZ199', 'Health Psychology', 4, 'montesguadalupe@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('SQX126', 'Power Systems', 3, 'sanchezsofia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('STG104', 'Biochemistry', 4, 'villanuevarenato@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('SVF204', 'Quantum Chemistry', 2, 'castromatias@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('SVQ162', 'Public Policy', 5, 'cortescristina@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('SWI199', 'Biochemistry', 1, 'osorioalicia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TBW241', 'Molecular Biology', 3, 'casasrosaura@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TCU140', 'Ancient Civilizations', 1, 'zunigajorge@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TDJ136', 'Machine Learning', 1, 'arandajesus@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TDO161', 'Inorganic Chemistry', 4, 'juradotamara@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TDX162', 'Mathematical Logic', 3, 'fuentesmarta@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TEG182', 'Diplomacy and Foreign Policy', 4, 'valverdejonas@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TGF155', 'Psychopathology', 3, 'rodriguezmanuel@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TGM142', 'Game Theory', 2, 'salgadobruno@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TGQ124', 'Complex Analysis', 4, 'bermudezcecilia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TGT141', 'Sociolinguistics', 1, 'rodriguezmanuel@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('THV206', 'History of Revolutions', 5, 'valenciasimon@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TIG243', 'Immunology', 6, 'paredeshugo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TKD134', 'Conflict Resolution', 6, 'merinojulian@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TNR219', 'Immunology', 5, 'camposfelix@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TOF202', 'Clinical Psychology', 1, 'roldanpilar@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TOM124', 'Microeconomics', 2, 'castellanoslorena@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TOU172', 'Evolutionary Biology', 6, 'carrilloeduardo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TPW189', 'Engineering Materials', 5, 'camposadrian@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TQJ117', 'Statistical Mechanics', 2, 'ferreroefrain@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TQO104', 'Ancient Civilizations', 3, 'nunezraul@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TRJ123', 'Botany', 1, 'moraemiliano@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('TUX172', 'Electrochemistry', 3, 'benavidesliliana@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('UBI153', 'Electromagnetic Fields', 3, 'delgadillojavier@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('UCL165', 'Historical Linguistics', 1, 'sanchezsofia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('UCZ178', 'Statistical Mechanics', 3, 'godoyalvaro@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('UDL150', 'Diplomacy and Foreign Policy', 4, 'arrietaroberto@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('UDZ113', 'Quantum Chemistry', 5, 'delpatricia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('UHR148', 'Environmental Impact Assessment', 2, 'benavidesliliana@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('UHW152', 'Electromagnetic Fields', 2, 'peraltaemma@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('UHW170', 'Zoology', 5, 'alarconmireya@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ULG204', 'Historical Linguistics', 3, 'hurtadobeatriz@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ULX190', 'Business Analytics', 4, 'villalobosgabriela@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('UOH165', 'Data Structures and Algorithms', 4, 'ramirezcarlos@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('UPH237', 'Semantics', 2, 'guzmanangela@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('UPS155', 'Environmental Chemistry', 2, 'roldanpilar@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('UTV132', 'Neuroscience', 1, 'vazquezmarcos@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('UUB190', 'Particle Physics', 3, 'valenzuelarosa@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('UWQ216', 'Mathematical Optimization', 1, 'carrilloeduardo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('UXC179', 'Complex Analysis', 2, 'cortescristina@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('VAA196', 'Linear Algebra', 2, 'lopezjavier@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('VFO221', 'Control Systems', 3, 'peinadonoelia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('VHE212', 'Human Rights', 5, 'aragonluisa@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('VHX194', 'Psycholinguistics', 3, 'lujanjoaquin@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('VJM121', 'Sociolinguistics', 1, 'salazarjoaquin@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('VPU233', 'History of Revolutions', 3, 'mejiaemmanuel@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('VQO151', 'Mathematical Optimization', 1, 'serranoemilio@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('VSP231', 'Educational Psychology', 2, 'espinosacarolina@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('VVP189', 'Sustainability Studies', 4, 'villarrealalberto@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('VWS120', 'Engineering Materials', 2, 'acostaregina@university.edu.es')
