INSERT ALL
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0004', 'Luciana Miranda', 'Filipinas', TO_DATE('2003-04-11', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0414', 'Cristóbal Sepúlveda', 'Vaticano', TO_DATE('1963-05-15', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0420', 'Fátima Aragón', 'Brasil', TO_DATE('1975-11-06', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0422', 'Santiago Navarrete', 'Egipto', TO_DATE('2020-09-05', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0423', 'Ángel Calderón', 'Malasia', TO_DATE('1968-08-22', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0424', 'Emilio Ferrer', 'Costa Rica', TO_DATE('1992-12-12', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0425', 'Jonathan Pacheco', 'Indonesia', TO_DATE('1952-12-05', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0426', 'Lucía Flores', 'Dinamarca', TO_DATE('2018-06-06', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0433', 'Rafael Cornejo', 'India', TO_DATE('2001-01-05', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0434', 'Alicia Carrillo', 'República Dominicana', TO_DATE('2020-12-26', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0437', 'Tamara Miranda', 'Polonia', TO_DATE('2019-08-04', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0439', 'Maximiliano Peña', 'Chile', TO_DATE('2019-08-04', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0440', 'Natalia Castro', 'Estados Unidos', TO_DATE('1986-08-26', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0442', 'Pedro Jiménez', 'Rumania', TO_DATE('1959-03-16', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0443', 'Luis Castillo', 'El Salvador', TO_DATE('1998-11-09', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0444', 'Fernando Sánchez', 'Estados Unidos', TO_DATE('1994-01-15', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0446', 'Carolina Carrasco', 'Rusia', TO_DATE('1972-08-26', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0448', 'Fernanda Zamora', 'China', TO_DATE('2003-06-25', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0453', 'Esteban Montero', 'Nigeria', TO_DATE('2013-06-04', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0461', 'Alejandro Rojas', 'Nigeria', TO_DATE('1975-11-06', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0468', 'Salvador Cevallos', 'Malta', TO_DATE('1998-11-09', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0476', 'Camilo Palacios', 'Brasil', TO_DATE('1954-10-23', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0478', 'Agustín Montenegro', 'Taiwán', TO_DATE('2009-04-26', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0481', 'Lorena Bustos', 'Canadá', TO_DATE('2006-01-28', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0484', 'Alicia Carrillo', 'Uzbekistán', TO_DATE('2001-07-02', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0485', 'Eduardo Ibarra', 'Finlandia', TO_DATE('1971-07-09', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0487', 'Tatiana Meza', 'Paraguay', TO_DATE('1972-08-26', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0488', 'Fiorella Bermúdez', 'Serbia', TO_DATE('1970-03-03', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0491', 'Natalia Castro', 'Japón', TO_DATE('1992-11-10', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0493', 'Kevin Bustos', 'Bolivia', TO_DATE('1959-03-16', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0494', 'Daniela Guerrero', 'Filipinas', TO_DATE('1970-03-03', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0495', 'Joaquín Tapia', 'Puerto Rico', TO_DATE('2011-11-06', 'YYYY-MM-DD'))
SELECT * FROM DUAL;
